sample	r_nnls	r_simplex	l1	l2
CLM148	0.0000361687282500553	0.00010931203873615	0.000291095416601203	0.000176804976435805
Colombians1	0.0000134179456157301	0.0000481130735577272	0.000155750454556928	0.000100240658229292
Colombians2	0.0000892243589766122	0.000210437547777538	0.000664996190136952	0.000305240720285362
Colombians3	0.000017197298504258	0.0000211330482973291	0.000154954205729284	0.0000958006821450609
Colombians4	0.0000706376730154594	0.0000147980362069064	0.000539920252322218	0.000371853283062084
Colombians5	0.0000631244781621962	0.00000844144432507354	0.000177154140649556	0.00011278173875197
Colombians6	0.00000827466956221156	0.0000531131023274094	0.000054011225816122	0.0000323843607803809
Colombians7	0.0000140893307358007	0.0000294989925713777	0.000185630174108567	0.000131260354905007
Dai1	0.0000558331843485639	0.0000155099815809929	0.000858058272272496	0.000606738822977095
Dai2	0.0000179955896643484	0.0000640760147501477	0.000160538730229834	0.00010673198470565
Dai3	0.0000397350636367748	0.0000524317168637276	0.000581223380351405	0.000410986993630647
Dai4	0.00015991761482045	0.000214530846321581	0.000944969053633813	0.000668194025835904
Dai5	0.0000148790796056073	0.0000318254997850434	0.000139245448159715	0.0000984614006430941
Dai6	0.0000977852977992103	0.0000424501643438518	0.000885950569327526	0.000626461655367576
Dai7	0.000205391439267876	0.000315729546675215	0.000495858919839748	0.000350625204730522
Dai8	0.0000607786693087947	0.0000559351890695795	0	0
Dai9	0.0000701419106663005	0.0000309064133216255	0.00128815462021476	0.000910862867170642
Daur1	0.000126752731617156	0.000247396616646033	0.0000360521008452089	0.0000200345669470535
Daur2	0.0000426676724308806	0.000115113847683988	0.000949131184902681	0.000441521160337652
Daur3	0.00000826007901195809	0.000022263159357067	0.0000530177938684096	0.0000279008186561789
Daur4	0.000157947694145162	0.000280920363866083	0.000926124826124098	0.000428050631349829
Daur5	0.0000783852260865116	0.000175289847395585	0.000143652222649407	0.0000879491260040243
Daur6	0.0000114976077536238	0.0000107061680152213	0.000108097757846396	0.000052275701518708
Daur8	0.000111392845208861	0.000217235439248257	0.000673564692139066	0.000368382451525851
Daur9	0.0000265895883522129	0.00000847502423637874	0.00155758240650505	0.000913252974958629
Daur10	0.0000243967999967457	0.0000770564830835777	0.00115281058252394	0.000519052400496457
Druze1	0.00186186170936868	0.00250701342074581	0.00150274216523557	0.000957846562027912
Druze2	0.00194841969690145	0.00260126765685706	0.00244540442779577	0.001729162053638
Druze3	0.00192921996557267	0.00259079801999997	0.000932622271441873	0.000591852906963524
Druze4	0.00234285527284535	0.00306009031012496	0.00121716117650034	0.00078991194597486
